id,name,party,sector,country
uvdl,Ursula von der Leyen,CDU,Politik,Deutschland
lk,Lars Klingbeil,SPD,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
sw,Sarah Wagenknecht,Die Linke,Politik,Deutschland
cs,Constanze Stelzenmüller,na,Recht,Deutschland
cl,Christian Lindner ,FDP,Politik,Deutschland
ks,Karl Schlögel,CDU,Historik,Deutschland
lm,Ljudmyla Melnyk,na,Politik,Ukraine
kd,Kristina Dunz,na,Journalismus,Deutschland
el,Egils Levits,na,Politik,Lettland
ab,Annalena Baerbock,Die Grünen,Politik,Deutschland
ft,Frans Timmermanns,na,Politik,Deutschland
am,Andrij Melnyk,na,Politik,Deutschland
agl,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,na,Bund,Deutschland
rh,Robert Habeck,Die Grünen,Politik,Deutschland
cm,Claudia Major,,Wissenschaft,Deutschland
kp,Katja Petrowskaja,,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
500,Folge 500,,,
501,Folge 501,,,
502,Folge 502,,,
503,Folge 503,,,
